"";"Team";"mybet";"tipico";"bet365";"betsafe";"sportingbet"
"4";"Darmstadt";0,342793753965756;0,335995917170034;0,376470877562377;0,369845212576408;"–"
"5";"Ingolstadt";0,100201251159221;0,111998639056678;0,150588351024951;0,105670060736117;"–"
"6";"Hertha BSC";0,0032403389678355;0,00447994556226712;0,00150287775474003;0,0105670060736117;"–"
"7";"1. FC Köln";0,0361837851408298;0,030545083379094;0,028959298274029;0,0379328423155291;"–"
"8";"HSV";0,0310146729778541;0,0373328796855593;0,0501961170083169;0,0547918833446531;"–"
"9";"Mainz 05";0,0283177448928233;0,030545083379094;0,0221453457389633;0,0308204343813674;"–"
"10";"Augsburg";0,0930440189335623;0,111998639056678;0,107563107874965;0,123281737525469;"–"
"11";"Stuttgart";0,217102710844979;0,248885864570395;0,231674386192232;0,238609814565425;"–"
"12";"Frankfurt";0,217102710844979;0,191997666954305;0,167320390027723;0,168111460262004;"–"
"13";"W. Bremen";0,289470281126638;0,292170362756551;0,273797001863547;0,273959416723266;"–"
"14";"Hannover";0,352058450018884;0,292170362756551;0,334640780055446;0,328751300067919;"–"
"15";"Hoffenheim";0,289470281126638;0,30545083379094;0,250980585041585;0,246563475050939;"–"
"16";"Gladbach";NA;0,00167997958585017;0,000752189565559195;0,00295876170061127;"–"
"17";"Schalke";NA;0,00167997958585017;0,00150287775474003;0,00295876170061127;"–"
"18";"Leverkusen";NA;0,00167997958585017;0,000752189565559195;0,00295876170061127;"–"
"19";"Wolfsburg";NA;0,000671991834340068;0,000752189565559195;0,000739690425152817;"–"
"20";"Dortmund";NA;0,000447994556226712;0,000301056279538086;0,000739690425152817;"–"
"21";"FC Bayern";NA;0,000268796733736027;0,000100378850169945;0,000739690425152817;"–"
